store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Loaf 'N Jug,00105,1900 E 2Nd St,,Casper,WY,82601,United States,3072374156,42.8487449,-106.2994931,fridayOpen:07:00;thursdayClose:07:00;recordId:67300105;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00109,1199 S Beverly St,,Casper,WY,82609,United States,3072345284,42.8390166,-106.2978268,fridayOpen:07:00;thursdayClose:07:00;recordId:67300109;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00111,3830 E 2Nd St,,Casper,WY,82609,United States,3072656399,42.84892,-106.2766353,fridayOpen:07:00;thursdayClose:07:00;recordId:67300111;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00127,59 S. Curtis,,Evansville,WY,82636,United States,3072659312,42.859369,-106.270612,fridayOpen:07:00;thursdayClose:07:00;recordId:67300127;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00131,1510 Centennial Court,,Casper,WY,82609,United States,3072346506,42.8340565,-106.2708076,fridayOpen:07:00;thursdayClose:07:00;recordId:67300131;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00157,1200 Big Horn Ave,,Worland,WY,82401,United States,3073478365,44.0167967,-107.9528289,fridayOpen:07:00;thursdayClose:07:00;recordId:67300157;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
City Market,00412,602 N Higley Blvd,,Rawlins,WY,82301,United States,3073281421,41.7946075,-107.2173541,fridayOpen:06:00;thursdayClose:23:00;recordId:62000412;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:23:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:23:00;fridayClose:23:00;mondayClose:23:00;saturdayClose:23:00;sundayClose:23:00;sundayOpen:06:00;,,
Loaf 'N Jug,00124,902 W Spruce St,,Rawlins,WY,82301,United States,3073281931,41.7892134,-107.2462056,fridayOpen:07:00;thursdayClose:07:00;recordId:67300124;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00125,714 S 4Th St,,Douglas,WY,82633,United States,3073585040,42.7507896,-105.3831253,fridayOpen:07:00;thursdayClose:07:00;recordId:67300125;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00159,3036 College Dr,,Rock Springs,WY,82901,United States,3073622683,41.5964736,-109.240776,fridayOpen:07:00;thursdayClose:07:00;recordId:67300159;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00150,1310 Dewar Dr,,Rock Springs,WY,82901,United States,3073623168,41.577465,-109.2359313,fridayOpen:07:00;thursdayClose:07:00;recordId:67300150;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00151,2558 Foothill Blvd,,Rock Springs,WY,82901,United States,3073621713,41.5821952,-109.2575683,fridayOpen:07:00;thursdayClose:07:00;recordId:67300151;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Smith's,00182,2531 Foothill Blvd,,Rock Springs,WY,82901,United States,3073621722,41.582958,-109.260703,fridayOpen:05:00;thursdayClose:00:00;recordId:70600182;wednesdayOpen:05:00;thursdayOpen:05:00;tuesdayOpen:05:00;wednesdayClose:00:00;saturdayOpen:05:00;mondayOpen:05:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:05:00;,,
Loaf 'N Jug,00134,109 Hwy 189,,Marbleton,WY,83113,United States,3072763263,42.553974,-110.110268,fridayOpen:07:00;thursdayClose:07:00;recordId:67300134;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00162,2800 South Hwy 59,,Gillette,WY,82716,United States,3076865644,44.268791,-105.494621,fridayOpen:07:00;thursdayClose:07:00;recordId:67300162;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Smith's,00180,906 Carmel Dr,,Gillette,WY,82716,United States,3076821103,44.2809,-105.4903522,fridayOpen:07:00;thursdayClose:07:00;recordId:70600180;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00149,401 S Douglas Hwy,,Gillette,WY,82716,United States,3076821695,44.2911531,-105.4940754,fridayOpen:07:00;thursdayClose:07:00;recordId:67300149;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00154,515 E Flaming Gorge Way,,Green River,WY,82935,United States,3078756733,41.5261268,-109.4615173,fridayOpen:07:00;thursdayClose:07:00;recordId:67300154;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00152,1325 Bridger Dr,,Green River,WY,82935,United States,3078756519,41.5034751,-109.4544754,fridayOpen:07:00;thursdayClose:07:00;recordId:67300152;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Smith's,00187,905 Bridger Dr,,Green River,WY,82935,United States,3078756900,41.5044202,-109.4582419,fridayOpen:05:00;thursdayClose:00:00;recordId:70600187;wednesdayOpen:05:00;thursdayOpen:05:00;tuesdayOpen:05:00;wednesdayClose:00:00;saturdayOpen:05:00;mondayOpen:05:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:05:00;,,
Loaf 'N Jug,00153,895 Uinta Dr,,Green River,WY,82935,United States,3078755526,41.5113983,-109.4722824,fridayOpen:07:00;thursdayClose:07:00;recordId:67300153;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00122,818 S 3rd St,,Laramie,WY,82070,United States,3077420241,41.3057494,-105.5938703,fridayOpen:07:00;thursdayClose:07:00;recordId:67300122;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
