store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Turkey Hill,00125,686 2Nd St,,Highspire,PA,17034,United States,7179391750,40.2027091,-76.771759,fridayOpen:07:00;thursdayClose:07:00;recordId:67000125;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00191,119 Front Street,,Mount Carmel,PA,17851,United States,5703395255,40.800415,-76.4275154,fridayOpen:07:00;thursdayClose:07:00;recordId:67000191;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00265,1025 Middletown Rd,,Hummelstown,PA,17036,United States,7175666865,40.2381911,-76.7122533,fridayOpen:07:00;thursdayClose:07:00;recordId:67000265;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00222,10 W Hershey Park Dr,,Hershey,PA,17033,United States,7175330303,40.2946865,-76.6527244,fridayOpen:07:00;thursdayClose:07:00;recordId:67000222;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00133,130 E 5Th St,,Mount Carmel,PA,17851,United States,5703390699,40.795011,-76.4108461,fridayOpen:07:00;thursdayClose:07:00;recordId:67000133;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00088,17 Briarcrest Sq,,Hershey,PA,17033,United States,7175341938,40.2688287,-76.6716125,fridayOpen:07:00;thursdayClose:07:00;recordId:67000088;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00034,170 E Main St,,Middletown,PA,17057,United States,7179444145,40.2005615,-76.7282714,fridayOpen:07:00;thursdayClose:07:00;recordId:67000034;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00232,2931 Fairgrounds Rd,,Ashland,PA,17921,United States,5708752050,40.7636985,-76.383171,fridayOpen:07:00;thursdayClose:07:00;recordId:67000232;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00197,100 W Main St,,Palmyra,PA,17078,United States,7178389754,40.3065032,-76.5971984,fridayOpen:07:00;thursdayClose:07:00;recordId:67000197;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00106,500 Jonestown Rd,,Jonestown,PA,17038,United States,7178655357,40.4126024,-76.4974332,fridayOpen:05:00;thursdayClose:00:00;recordId:67000106;wednesdayOpen:05:00;thursdayOpen:05:00;tuesdayOpen:05:00;wednesdayClose:00:00;saturdayOpen:05:00;mondayOpen:05:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:05:00;,,
Loaf 'N Jug,00156,305 N Federal Blvd,,Riverton,WY,82501,United States,3078560217,43.0270195,-108.3801651,fridayOpen:07:00;thursdayClose:07:00;recordId:67300156;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Smith's,00183,1200 W Main St,,Riverton,WY,82501,United States,3078564931,43.0255124,-108.4090145,fridayOpen:06:00;thursdayClose:00:00;recordId:70600183;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
Loaf 'N Jug,00103,285 Honeysuckle St,,Casper,WY,82604,United States,3072656946,42.8109855,-106.4019317,fridayOpen:07:00;thursdayClose:07:00;recordId:67300103;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00114,4603 W. Yellowstone,,Mills,WY,82644,United States,3072666851,42.8503074,-106.3825836,fridayOpen:07:00;thursdayClose:07:00;recordId:67300114;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00155,195 Main St,,Lander,WY,82520,United States,3073326216,42.8326074,-108.7289388,fridayOpen:07:00;thursdayClose:07:00;recordId:67300155;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00110,3597 Salt Creek Hwy,,Casper,WY,82601,United States,3072356261,42.8978538,-106.3429412,fridayOpen:07:00;thursdayClose:07:00;recordId:67300110;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
